Typ	Wikidata	Wikidata	Wikidata	Wikidata
Fabrikgebäude (Produktionsgebäude)	Q1662011			
Fabrikgebäude (Produktionsgebäude/ Kontor- und Lagerhaus)	Q1783234	Q1662011		
Fabrikgebäude (Raffinerieanlage)	Q1662011			
Fabrikgebäude (Remise/ Stall/ Lagerhaus)	Q1662011	Q517820		
Fabrikgebäude (Schlosserei/Lagergebäude)	Q1662011			
Fabrikgebäude (Sheddachhalle)	Q1662011			
Fabrikgebäude (Weberei mit Verwaltung)	Q1662011			
Fabrikgebäude (Werkstattgebäude)	Q1662011			
Fabrikgebäude (Zinnschmelze)	Q1662011			
Fabrikgebäude <Produktionshallen/ Montagehallen; Betriebsbüro; u.a.>	Q1662011			
Fabrikgebäude/ Lagerhaus {nach Umnutzung}	Q1662011			
Fabrikgebäude/ Speicher; Fabrikgebäude (Sheddachhalle)	Q1662011	Q1362225		
Fabrikgebäude/Lagergebäude	Q1662011			
Fabrikgebäude/Speicher	Q1662011	Q1362225		
Fabrikgebäude/Verwaltungsgebäude	Q1662011			
Fabrikgebäude; Hoffläche; Uferbefestigung	Q1662011			
Fabrikgebäude; Speicher	Q1662011	Q1362225		
Fabrikgebäude; Wohnhaus	Q1662011			
Fabrikhalle	Q1662011			
Fabrikhallen <Montagehalle; u.a.>	Q1662011			
Fabrikkomplex	Q1662011			
Fabrikschornstein	Q1662011			
Fabrikverwaltungsgebäude	Q1662011			
Fachwerkkate	Q12020836			
Fahnenmast				
Fährstein				
Fassade	Q183061			
Fassade (Etagenhausfassade)	Q183061			
Fassade (Gaststättenfassade); Terrasse (Gartenwirtschaft)	Q183061	Q62602544		
Fassade (Kontorhausfassade)	Q183061	Q1783234		
Fassade (Stadthausfassade)	Q183061			
Fassade mit Dachansicht (Etagenhaus)	Q183061			
Fassade; Treppenhaus	Q183061			
Fassaden	Q183061			
Feierhallen	Q47162123			
Fernmeldeamt (Betriebs- und Verwaltungsgebäude)	Q1406989			
Fernmeldeturm	Q47162123			
Fernmeldezeugamt	Q47162123			
Fernsprechamt/ Postgebäude	Q1406989			
Feuerwache	Q1195942			
Feuerwache (Spritzenhaus)	Q1195942			
Feuerwehrhaus	Q1195942			
Feuerwehrremise	Q1195942			
Filterwerk (Sandfiltration)	Q47162123			
Fischerhaus	Q41176			
Fischerhaus (Haushälfte)	Q41176			
Fischerhaus (Tweehus)	Q41176			
Fischerhaus (Tweehus, Fachwerkhaus)	Q41176			
Fischerhaus (Tweehus-Hälfte)	Q41176			
Fischerhaus; Gartenlaube (vermutl.)	Q41176			
Fleet	Q1427694			
Flugzeughallen	Q47162123			
Fluss	Q4022			
Folly (Nachbau einer Burgruine)	Q180174			
Forschungszentrum	Q47162123			
Forsthaus	Q1425352			
Forsthof/ Wohnanwesen <Wohnhaus; Stall (mit Gärtnerwohnung); Weintreibhaus; Treibhaus; Garten; Allee; Weideflächen	Q1425352			
Freifläche				
Freiplastik	Q350268			
Freiplastik (auf Betonsockel)	Q350268			
Friedhof	Q39614			
Friedhof (Jüdischer Friedhof)	Q39614			
Friedhof (jüdischer Friedhof)	Q39614			
Friedhof (Zentralfriedhof)	Q39614			
Friedhof {Parkanlage (nach Umnutzung)}	Q39614	Q22698		
Friedhof <Friedhofsgelände; Friedhofskapelle; Tor; Grabsteine>	Q39614			
Friedhof <Grabmäler; Kriegerdenkmal; Gedenkstein; Einfriedung; u.a.>	Q39614	Q1307347	Q575759	
Friedhof <Grabstätten; Friedhofskapelle; Friedhofsgebäude; u.a.>	Q39614			
Friedhof <Grabstätten; Friedhofskapelle; u.a.>	Q39614			
Friedhof <Grabsteine; Grüfte; Kriegerdenkmal; Friedhofskapelle; Torhaus/ Wartehalle; Einfriedungen; Tor>	Q39614	Q1307347	Q575759	
Friedhof <Wegenetz; Baumbestand; Grabmäler; Treppenanlage; Einfriedung; Tor>	Q39614	Q1307347		
Friedhof; Einfriedung	Q39614	Q1307347		
Friedhof; Grabsteine	Q39614			
Friedhof; Kirche	Q39614	Q16970		
Friedhof; Park	Q39614	Q22698		
Friedhofskapelle	Q1457501			
Friedhofskapelle {Kirchengebäude (nach Umnutzung)}	Q1457501	Q16970		
Funkorgel				
Fußgängerbrücke	Q1068842			
Fußgängertunnel (im Bahndamm); Böschungsmauern (Zyklopenmauerwerk)	Q44377			
Futtermauer				
Garage	Q22733			
Garage/Werkstatt	Q22733			
Garage; Atelier	Q22733			
Garage; Mehrfamilienhaus	Q22733			
Garage; Parkhaus; Werkstatt; Tankstelle	Q22733	Q13218805		
Garage; Stall; Wohnen	Q22733			
Garage; Villa	Q22733	Q3950		
Garage; Wohnen	Q22733			
Garagen	Q22733			
Garagenanlage	Q22733			
Garten	Q1107656			
Garten (Hecken; Wasserbecken; usw.)	Q1107656			
Garten (mit Linden)	Q1107656			
Garten (Wiesenfläche)	Q1107656			
Garten; Landhaus	Q1107656			
Garten; Landhaus; Mauer; Tor	Q1107656			
Garten; Schwimmbecken	Q1107656			
Garten; Wohnanlage	Q1107656			
Garten; Wohnen	Q1107656			
Gartenanlage <Terrassen; Gartenhaus; Baumbestand; u.a.>	Q1107656			
Gartenhaus	Q5787273			
Gartenhaus/Wohnhaus; Einfriedung	Q5787273	Q1307347		
Gartenhäuschen	Q5787273			
Gartenhof				
Gartenpavillon	Q276173			
Gärtner- bzw. Kutscherhaus; Einfriedung	Q5787273	Q1307347		
Gärtnerei	Q47162123			
Gärtnerhaus	Q17496318			
Gärtnerhaus/ Verwalterhaus; Einfriedung	Q17496318	Q1307347		
Gärtnerhaus/Torhaus	Q17496318			
Gärtnerhaus; Remise; Stall; Taubenhaus; Villa; Weg	Q17496318	Q517820	Q3950	
Gärtnerhaus; Taubenhaus/ Gerätehaus	Q17496318			
Gärtnerhaus; Zaun	Q17496318			
Gärtnerwohnhaus	Q17496318			
