Item	Bezeichnung	ist ein	lat	lon	Straße
Q274153	Sander Dickkopp	Wasserturm	53.499573	10.192051	
Q1244442	Gymnasium Allermöhe	Schulgebäude	53.485556	10.155194	Walter-Rothenburg-Weg 41
Q1244442	Rudolf-Roß-Grundschule	Schulgebäude	53.5525	9.97815	Kurze Straße 30
Q19860854	Eden-Theater	abgegangenes Bauwerk	53.54933	9.96521	
Q41176	Elbchaussee 530	Gebäude	53.56131	9.82017	Elbchaussee 530
Q1797122	Künstlerhaus Hamburg	Künstlerhaus	53.56636389	9.96533056	
Q1244442	Berufsschule Dratelnstraße 24	Schulgebäude	53.50035	10.00354	Dratelnstraße 24
Q1244442	Rudolf-Steiner-Schule Altona	Schulgebäude	53.55049	9.92185	
Q1244442	Schule Königstraße	Schulgebäude	53.5481	9.94678	Struenseestraße 20-32
Q1244442	Schule Dempwolffstraße	Schulgebäude	53.45875	9.96419	Dempwolffstraße 7
Q41253	CinemaxX Wandsbek	Kino	53.5726	10.06655	Quarree 8 – 10, 22041 Hamburg
Q1244442	Katholische Schule Harburg	Schulgebäude	53.45791	9.96996	Julius-Ludowieg-Straße 89
Q2742167	Dominikanerkloster Hamburg	religiöse Gemeinschaft	53.550833	9.993056	
Q1202402	Residenz des japanischen Generalkonsuls in Hamburg		53.58134	9.99846	Leinpfad 6
Q1244442	Stadtteilschule Öjendorf	Schulgebäude	53.54178	10.12971	Öjendorfer Höhe 12
Q41176	Elbkaihaus	Gebäude	53.544332	9.935954	
Q1244442	Schule Max-Eichholz-Ring	Schulgebäude	53.50708	10.21705	Max-Eichholz-Ring 25
Q1147171	Bahnhof Hamburg Jungfernstieg	Kreuzungsbahnhof	53.55361111	9.9925	
Q1244442	Schule Göhlbachtal	Schulgebäude	53.45486	9.9642	Göhlbachtal 38
Q1244442	Schule Ohkamp	Schulgebäude	53.63669	10.02193	Ohkampring 13
Q41253	Zeise Kinos	Kino	53.55403	9.92741	Friedensallee 7 – 9, 22765 Hamburg
Q23413	Wasserburg Wilhelmsburg	Burg	53.47811667	10.01995	
Q644264	Katholisches Kinderkrankenhaus Wilhelmstift	Kinderkrankenhaus	53.586667	10.164444	
Q41253	Streit's Haus Filmtheater	Kino	53.55429	9.99042	
Q928830	U-Bahnhof Sierichstraße	U-Bahnhof	53.59027778	10.00111111	
Q1244442	Schule Steinadlerweg	Schulgebäude	53.55202	10.10694	Steinadlerweg 26
Q1244442	Schule Bandwirkerstraße	Schulgebäude	53.57628	10.0666	Bandwirkerstraße 56
Q1329623	Zinnschmelze	Kulturzentrum	53.585805555556	10.044888888889	
Q19844914	Sedanstraße 19	Universitätsgebäude	53.56923	9.97773	Sedanstraße 19
Q6881511	Spirituosen- und Likörfabrik Louis Hilke	Unternehmen	53.46352777777778	9.984333333333334	
Q1244442	Grundschule Mümmelmannsberg	Schulgebäude	53.52875	10.14016	Mümmelmannsberg 54, 22115 Hamburg
Q39715	Leuchtturm Julssand	Leuchtturm	53.621666666667	9.5561111111111	
Q1244442	Schule Rotenhäuser Damm	Schulgebäude	53.51129	9.99163	Rotenhäuser Damm 45
Q1244442	Schule Röthmoorweg	Schulgebäude	53.6275	9.92476	Röthmoorweg 9
Q928830	U-Bahnhof Mönckebergstraße	U-Bahnhof	53.55121001	10.00137806	
Q152081	KZ Hamburg-Steinwerder (Blohm & Voss)	Konzentrationslager	53.5463	9.9354	
Q16917	Schön Klinik Hamburg Eilbek	Krankenhaus	53.57722222	10.05388889	
Q16970	St. Johannis	Kirchengebäude	53.61096	10.06332	
Q19860854	Autokino Billbrook	abgegangenes Bauwerk	53.52341	10.09129	Moorfleeter Straße 2, 22113 Hamburg
Q1244442	Schule Löwenstraße	Schulgebäude	53.58721	9.97407	Löwenstraße 58
