Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Denkmal (Denkmal für die Erhebung Schleswig-Holsteins 1848 und Kriegerdenkmal 1914/ 18)	1
Mehrfamilienhaus/ Kino	1
Kavaliershaus/ Sommerwohnhaus	1
Wohnhaus mit Garten	1
Wohngebäude (vermutl.) {Schulgebäude (nach Umnutzung 1821, Privatschule)}	1
Wohnhaus (mit Garten)	1
Schul- und Lehrgebäude	1
Wohnhaus {Pastorat (nach Umnutzung)}	1
Kirchengebäude/ Kirchturm	1
Kirchturm; Einfriedung	1
Brunnenplastik	1
Freiplastik (auf Betonsockel)	1
Wohnhaus (Reihenhaus, Doppelhaus)	1
Stallgebäude/ Remise	1
Scheune (Fachwerk) {Wohnhaus (nach Umnutzung)}	1
Remise/ Scheune (mit Wohnteil nach Osten)	1
Stall {Wohnwirtschaftsgebäude (nach Anbau des Wohnteils mit Pferdestall 1910)}	1
Altenteiler; Windbäume (vor dem Haus)	1
Apotheke (Handwerkerhaus)	1
Handwerkerhaus (Reepschlägerei) {Mehrfamilienhaus (nach Umnutzung}	1
Fischerhaus (Tweehus, Fachwerkhaus)	1
Kleinwohnhaus (ortstypisches Reihenwohnhaus mit drei Hausteilen)	1
Speicher (Mehl- und Getreidespeicher)	1
Kirchengebäude (Kirchensaal); Einfriedung	1
Park; Teich; Einfriedung	1
Wohnwirtschaftsgebäude (Wirtschaftsgebäude mit Wohnteil)	1
Schalthäuschen	1
Villa; Gartenhaus; Einfriedung	1
Kleinwohnhaus/Reihenhaus (Langer Jammer)	1
Musikschule (ehem.)	1
Kleinwohnhaus (mit Werkstatt)	1
Mehrfamilienhaus (Hinterhaus); Einfriedigung (Zaun zum Garten); Hoffläche	1
Fabrikgebäude (Mietfabrik)	1
Mehrzweckgebäude (Bürgerhaus)	1
Heim ("Erziehungsanstalt für sittlich verwahrloste Knaben") {Mehrfamilienhaus (nach Umbau 1923)}	1
