ID	Commonscat
29157	Rathausmarkt-Hof
29158	Skandinaviahaus
29159	Versmannhaus
11886	Kornhausbrücke (Hamburg)
11888	Klöpperhaus, Hamburg
29161	Seeburg (Hamburg)
12837	Lombardsbrücke
29123	Boltenhof
29163	Meßberghof
12134	Hammoniahaus
14997	Levantehaus
29932	Barkhof (Hamburg)
12137	Seidenhaus Brandt (Mönckebergstraße)
12140	Mönckebergbrunnen
29934	Postgebäude Mönkedamm
12069	Verwaltungsgebäude Neue Burg 1
29935	Katharinenhof-Frachtenhaus
12144	Fernmeldeamt Niedernstraße
12146	Brüggehaus
12253	Keramikhof
14791	Hesse-Newman-Haus
13839	Friedrichshof (Kontorhaus)
29938	Hamburger Rathaus
12066	Hygieia-Brunnen, Hamburg
29937	Hamburger Rathausmarkt
12067	Heinrich-Heine-Denkmal, Rathausmarkt (Hamburg)
12254	Hamburger Rathausmarkt
11981	Reesendammbrücke
29940	Reimerstwiete
12259	U-Bahnhof Rödingsmarkt
12047	Haus Cölln
12260	Haus Newman I (Hamburg)
12261	Haus Newman II (Hamburg)
12058	Rathausschleuse
14751	Alsterfleet
12403	Haus Gülden Gerd
12405	Laeiszhof
14776	Globushof
12070	Statue of Adolphus III, Count of Schauenburg and Holstein (Engelbert Peiffer in Hamburg)
12071	Engelbert Peiffer - Statue of Saint Ansgar - Trostbrücke Hamburg
12406	Trostbrücke
11969	IBM-Haus (Hamburg)
11970	Spiegel-Haus
11973	Willy-Brandt-Straße 47 (Hamburg)
14771	Afrikahaus
29971	Hamburg Süd (building)
12062	Globusbrunnen
14173	Herz-Jesu-Kirche (Hamburg-Hamm)
13809	Ballettzentrum Hamburg
14175	Hammer Park
29219	Schule Hammer Steindamm
29198	Bunkermuseum_Hamburg
13810	Dreifaltigkeitskirche (Hamburg-Hamm)
30165	Dreifaltigkeitskirche (Hamburg-Hamm)
13811	Alter Hammer Friedhof
14174	Sieveking-Mausoleum auf dem Alten Hammer Friedhof
14241	Hansaburg (Hamburg-Hamm)
30155	Großmarkt Hamburg
14191	Schule Wendenstraße
13804	Zweite Ausschläger Brücke
27506	Schule Am Soldatenfriedhof
26265	Goethe-Schule Harburg
31192	St.-Johanniskirche (Hamburg-Harburg)
27874	Alter Friedhof Harburg
27875	Grabmal Johann Heinrich Blohm
27535	Harburger Soldat (Hermann Hosaeus)
29900	Bahnhof_Hamburg-Harburg
26261	Rathaus Harburg (Hamburg)
26258	Harburger Schloßstraße 2
28022	Harburger Schloßstraße 5
26259	Harburger Schloßstraße 7
26260	Harburger Schloßstraße 9
27871	Harburger Schloßstraße 13
26256	Palmspeicher
28003	Harburger Schloßstraße 29
29842	Harburger Schloßstraße 43
29843	Harburger Schloßstraße 45
28001	Feuerwache Hastedtstraße
26954	Kanalplatz 6 (Hamburg)
28031	Kanalplatz 8 (Hamburg)
28033	Kanalplatz 16
31171	Karnapp
28536	Lotsekai
29286	Fleethaus Hamburg-Harburg
29829	Schellerdamm 2a
29828	Schellerdamm 4
31175	Staatsbahnhof Harburg
28534	Westlicher Bahnhofskanal
30671	Ida-Ehre-Schule
19907	Ida-Ehre-Schule
30594	Klinker (Siedlungsbau, Hamburg-Harvestehude)
30595	Bogenstraße (Hamburg)
19167	Bogenstraße 56 in Hamburg-Harvesthude
19158	Cultural heritage monuments in Hamburg-Harvestehude
19759	Cultural heritage monuments in Hamburg-Harvestehude
30688	Grindelhochhäuser
19152	Klinker (Siedlungsbau, Hamburg-Harvestehude)
19151	Klinker (Siedlungsbau, Hamburg-Harvestehude)
20072	Tankstelle Grindelberg
19583	Anglo-German Club (Hamburg)
19165	Hohe Weide 39-53 in Hamburg-Harvesthude
19611	Hohe Weide 39-53 in Hamburg-Harvesthude
19610	Hohe Weide 58-68 in Hamburg-Harvesthude
19617	Hohe Weide 58-68 in Hamburg-Harvesthude
19613	Hohe Weide 58-68 in Hamburg-Harvesthude
19614	Hohe Weide 58-68 in Hamburg-Harvesthude
19615	Hohe Weide 58-68 in Hamburg-Harvesthude
19170	Hohe Weide 58-68 in Hamburg-Harvesthude
19599	Hohe Weide 70-86 in Hamburg-Harvesthude
19606	Hohe Weide 58-68 in Hamburg-Harvesthude
19607	Cultural heritage monuments in Hamburg-Harvestehude
19669	Cultural heritage monuments in Hamburg-Harvestehude
19647	Cultural heritage monuments in Hamburg-Harvestehude
19626	Innocentiastraße
30681	Innocentiastraße
19978	Innocentiastraße
19581	Hochbahnbrücke Isebekkanal
19584	Hochbahnbrücke Isebekkanal
19585	Isebrücke
18778	Schule Isestraße
19543	Hochbahnviadukt Isestraße in Hamburg-Harvestehude
19976	Hochbahnviadukt Isestraße in Hamburg-Harvestehude
19608	Kaiser-Friedrich-Ufer 15-22 in Hamburg-Harvesthude
19601	Kaiser-Friedrich-Ufer 15-22 in Hamburg-Harvesthude
19168	Cultural heritage monuments in Hamburg-Harvestehude
19238	Cultural heritage monuments in Hamburg-Harvestehude
18779	Klosterallee 80 (Hamburg)
19588	Klosteralleebrücke
19579	Krugkoppelbrücke
21878	Krugkoppelbrücke
29542	Mittelweg 113 (Hamburg)
19634	Oberstraße (Hamburg)
19641	Innocentiapark
29541	Former Synagogue Oberstraße Hamburg
19858	Cultural heritage monuments in Hamburg-Harvestehude
19772	Cultural heritage monuments in Hamburg-Harvestehude
19648	Cultural heritage monuments in Hamburg-Harvestehude
18793	Rothenbaumchaussee
29518	Rothenbaumchausse 167, 169 in Hamburg-Harvestehude
19550	Simón Bolívar Statue, Hamburg
19906	Ida-Ehre-Schule
29553	Sophienterrasse 14
19542	Hochbahnbrücke Isebekkanal
19590	Hochbahnbrücke Isebekkanal
19652	Streekbrücke
28308	Friedrich-Ebert-Gymnasium (Hamburg)
28295	St. Paulus (Hamburg-Heimfeld)
28287	Schule Woellmerstraße
29576	Neuapostolische Kirche Abendrothsweg
38954	Neuapostolische Kirche Abendrothsweg
29252	Schule Löwenstraße (Hamburg)
20245	St. Markus (Hamburg-Hoheluft)
30707	Husumer Straße (Hamburg)
20332	Husumer Straße (Hamburg)
20329	Husumer Straße (Hamburg)
20247	Schule Lehmweg (Hamburg)
30711	Heimann-Stift (Hamburg-Hoheluft-Ost)
20516	Heimann-Stift (Hamburg-Hoheluft-Ost)
20331	Heimann-Stift (Hamburg-Hoheluft-Ost)
20254	Pastorat (1912) St.Markus in Hamburg-Hoheluft-Ost
19792	Bismarckstraße 98 in Hamburg-Hoheluft-West
30694	Christian-Förster-Straße
19812	Gymnasium Hoheluft
19467	Grenzstein Christian-Förster-Straße 21 Hamburg-Hoheluft-West
29070	Grenzsteine (2) Christian-Förster-Straße 33a Hamburg-Hoheluft-West
29071	Grenzsteine (2) Christian-Förster-Straße 33a Hamburg-Hoheluft-West
29014	Grenzstein Gärtnerstraße 22 Hamburg-Hoheluft-West
29015	Grenzstein Gärtnerstraße 28 Hamburg-Hoheluft-West
29013	Grenzstein Gärtnerstraße 30 Hamburg-Hoheluft-West
29567	Hoheluftchaussee 95 Factory building Hamburg Hoheluft-West
19785	Kottwitzstraße 4, 6 Hamburg-Hoheluft-West
19780	Kottwitzstraße 7 Hamburg-Hoheluft-West
19560	Kottwitzstraße 9 Hamburg-Hoheluft-West
19474	Kottwitzstraße 15 Hamburg-Hoheluft-West
19788	Kottwitzstraße (Hamburg)
18498	Roonstraße Hamburg-Hoheluft-West
19839	Roonstraße Hamburg-Hoheluft-West
19840	Roonstraße Hamburg-Hoheluft-West
14420	Roonstraße 32 Hamburg-Hoheluft-West
29269	Schule Angerstraße 11
30892	Schule Angerstraße 7
22298	Schule Angerstraße 7
22283	Schule Angerstraße 7
30891	Marienkrankenhaus Hamburg
22300	Marienkrankenhaus Hamburg
22287	Ehemalige Polizeiwache Angerstraße
22285	Schule Angerstraße 4
22299	Schule Angerstraße 7
22280	Marienkrankenhaus Hamburg
30785	Hohenfelder Bucht
21237	Hohenfelder Bucht
21238	Hohenfelder Bucht
23305	Kuhmühlenteichbrücke
30787	Kuhmühlenapotheke
21052	Kuhmühlenapotheke
22281	Alsterschwimmhalle
21051	Kuhmühlenapotheke
22284	U-Bahnhof Lübecker Straße
22288	U-Bahnhof Lübecker Straße
21047	Drei Männer im Boot (Hamburg)
21234	U-Bahnhof Uhlandstraße (Hamburg)
30810	U-Bahnhof Uhlandstraße (Hamburg)
21235	U-Bahnhof Uhlandstraße (Hamburg)
13080	Horner Warteschule
30181	Schule Beim Pachthof
13081	Schule Beim Pachthof
13085	Wichern-Gedenkstein von 1898 in Hamburg-Horn
14247	Grenzstein Derbyweg
13096	Blohms Park
30184	Blohms Park
26374	Blohms Park
13095	Blohms Park
29335	ThyssenKrupp Hamburg-Horn
29334	Schule Rhiemsweg 6
13088	Speckenreye 2 in Hamburg-Horn
