ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
17765	Hellgrundweg o.Nr. südöstlich von Nr. 45	53.589812	9.89504	22525
17800	Bornkampsweg o.Nr.|Regerstraße o.Nr.	53.569411	9.91623	22761
17808	Holstenkamp o.Nr. nordöstlich von Nr. 82, auf dem Neuen Mennonitenfriedhof	53.571715	9.916034	22525
17890	Fischers Allee o.Nr. südlich von Nr. 63	53.550114	9.921905	22763
17902	Baron-Voght-Straße o.Nr. östlich von Nr. 189|Bei der Flottbeker Kirche o.Nr.	53.565588	9.876709	22607
18022	Elbe|Elbtunnel	53.545561	9.913094	22605
18047	Groß Flottbeker Straße o.Nr.	53.568817	9.879247	22607
18049	Haus Christiansen	53.561921	9.89303	22607
18080	Sülldorfer Kirchenweg 38	53.567617	9.81084	22587
18091	Oesterleystraße 22 im Gebäude	53.562146	9.807552	22587
18134	Blankeneser Bahnhofstraße o.Nr.|Oesterleystraße o.Nr.	53.560776	9.811004	22587
18135	Bismarckstein o.Nr. in der Grünanlage	53.561027	9.794024	22587
18136	Bismarckstein o.Nr. in der Grünanlage	53.561282	9.797387	22587
18137	Bismarckstein o.Nr. in der Grünanlage	53.561779	9.797767	22587
18158	Mittelweg o.Nr.	53.562786	9.991638	20148
18160	Mittelweg o.Nr. vor Nr. 187	53.562868	9.994424	20148
18163	Mittelweg o.Nr. bei Nr. 174	53.565126	9.994849	20148
18168	Alte Rabenstraße o.Nr.	53.567213	10.000972	20148
18198	Falkensteiner Ufer  o.Nr., nördlich von Nr. 26/ 28	53.561165	9.787226	22587
18200	Elbchaussee o.Nr.|Gätgensstraße o.Nr.|Pepers Diek o.Nr.	53.560546	9.819733	22587
18201	Falkentaler Weg o.Nr.|Schinckels Park	53.561461	9.792036	22587
18203	Kirschtenstraße o.Nr. vor dem Gebäude Oesterleystraße 27			
18204	Strandweg  o.Nr., in der Grünanlage unterhalb von Mühlenberg 86	53.554211	9.818357	22587
