ID	Adresse	Geogr. Br.	Geogr. Lg.
15299	Bornheide o.Nr.	53.591032	9.850965
15300	Luruper Hauptstraße o.Nr. am Spielplatz, auf Höhe von Nr. 52	53.584691	9.879985
15305	Spreestraße o.Nr.	53.600497	9.882507
15306	Recknitzstraße o.Nr.|Sudestraße o.Nr.	53.600393	9.866544
15308	Ohlestraße o.Nr.	53.605695	9.870012
15313	Oesterleystraße o.Nr.	53.560586	9.808227
15354	Övelgönner Straße 25	53.569181	9.94631
15406	Neumühlen o.Nr. zwischen Nr. 35 und 36	53.544612	9.916982
15448	Palmaille o.Nr. in der Grünanlage südlich von Nr. 45	53.545393	9.939467
15450	Platz der Republik o.Nr.	53.548375	9.93541
15500	Güterbahnhof / Bahnbetriebswerk Altona (Kleiderkasse)	53.560376	9.938944
15558	Hohenzollernring 23, 25	53.549308	9.917
15617	Hospitalstraße o.Nr.|Max-Brauer-Allee o.Nr.	53.556774	9.947645
15675	Julius-Leber-Straße o.Nr.	53.555538	9.939152
15676	Max-Brauer-Allee o.Nr. Ecke Julius-Leber-Straße	53.555191	9.941502
15771	Bei der Reitbahn o.Nr.	53.551257	9.924833
15802	Rainvilleterrasse o.Nr. südlich Nr. 4	53.545578	9.930689
15804	Betty-Levi-Passage o.Nr.	53.547004	9.934462
16092	Sülldorfer Kirchenweg o.Nr. nördlich von Nr. 189	53.579385	9.797232
16141	Museumstraße o.Nr. in der Parkanlage, östlich von Nr. 27/ 29	53.549839	9.935466
16158	Jüdischer Friedhof Königstraße	53.549997	9.950088
16215	Fischmarkt 2a	53.545593	9.953264
16252	Behnstraße o.Nr. gegenüber von Nr. 9|Struenseestraße o.Nr. gegenüber von Nr. 69-73	53.548138	9.945382
16341	Bei der Johanniskirche o.Nr. nördlich der Kirche	53.560183	9.953478
16364	Behringstraße o.Nr.|Hohenzollernring o.Nr.	53.553328	9.917974
16418	Borsteler Brücke o.Nr.	53.597138	9.988754
16448	Fischmarkt o.Nr.	53.545901	9.951868
16506	In de Bost o.Nr. nördlich von 10b	53.554751	9.831389
16514	Georg-Bonne-Straße 82	53.552929	9.849851
16528	Nienstedtener Marktplatz o.Nr.	53.552453	9.844318
16578	Bei der Friedenseiche o.Nr.|Max-Brauer-Allee o.Nr.	53.554054	9.940349
16652	Reventlow-Stift	53.558728	9.957874
16692	Op´n Kamp 28	53.558605	9.805534
16693	Op´n Kamp 2|Op´n Kamp 4	53.558037	9.806859
16700	Strandweg  o.Nr., unterhalb von Baurs Park	53.555231	9.813687
16809	Hospitalstraße o.Nr.	53.554726	9.947705
16818	Elbberg o.Nr.	53.5452	9.931893
16844	Königstraße o.Nr. in der Grünanlage westlich des Rathauses	53.547689	9.943265
16908	Am Eichenplatz o.Nr.|Osdorfer Landstraße o.Nr.	53.573088	9.844173
16941	Elbchaussee o.Nr. westlich von Nr. 408	53.551401	9.842708
16965	Rissener Ufer o.Nr.	53.563982	9.751523
16976	Baron-Voght-Straße o.Nr.|Jürgensallee o.Nr.|Quellental o.Nr.	53.555056	9.861544
16978	Baron-Voght-Straße o.Nr.	53.55108	9.868854
16979	Elbchaussee o.Nr.	53.556966	9.826365
17002	Georg-Bonne-Straße 87	53.552935	9.845698
17056	Schulberg o.Nr.	53.545246	9.905798
